traduccion,unidad,tipo_palabra,hiragana,katakana,kanji
montaña,13,kanji,たま,*,山
monte fuji,13,kanji,ふじさん,*,ふじ山
rio,13,kanji,かわ/せん,*,川
rio,13,kanji,かわ,*,川
rio nilo,13,kanji,ないるがわ,ナイルガワ,ナイル川
rio de la plata,13,kanji,ら。ぷらたがわ,ラ。プラタガワ,ラ。プラタガワ川
campo de cultivo,13,kanji,た/だ/でん,*,田
campo de cultivo,13,kanji,たんぼ,*,田んぼ
campo de petrolo,13,kanji,ゆでん,*,ゆ田
campo de arroz,13,kanji,すいでん,*,水田
Sr Yamada,13,kanji,やまださん,*,山田さん
sol o dia,13,kanji,ひ/び/にち/に/じつ,*,日
dia o sol,13,kanji,ひ,*,日
dia del niño,13,kanji,こどものひ,*,子の日
japon,13,kanji,にほん,*,日本
Domingo,13,kanji,にちようび,*,日曜日
feriado,13,kanji,きゅうしつ,*,きゅう日
luna o mes,13,kanji,つき/けつ/がつ,*,月
luna,13,kanji,つき,*,月
Enero,13,kanji,いちがつ,*,一月
Lunes,13,kanji,げつようび,*,月曜日
fuego,13,kanji,ひ/か,*,火
fuego,13,kanji,ひ,*,火
fuegos artificiales,13,kanji,はなび,*,はな火
Martes,13,kanji,かようび,*,火曜日
Volcan,13,kanji,かざん,*,火山
incendio,13,kanji,かし,*,火し
agua,13,kanji,みす/すい,*,水
agua,13,kanji,みす,*,水
campo de arroz,13,kanji,すいでん,*,水田
Miércoles,13,kanji,すいようび,*,水曜日
azul claro,13,kanji,すいろ,*,水いろ
madera,13,kanji,き/もく,*,木
arbol,13,kanji,き,*,木
Jueves,13,kanji,もくようび,*,木曜日
arbol grande,13,kanji,だいぼく,*,だい木
oro o dinero,13,kanji,きん/かね,*,金
dinero,13,kanji,おかね,*,お金
viernes,13,kanji,きんようび,*,金曜日
dorado,13,kanji,きんいろ,*,金いろ
oro,13,kanji,きん,*,金
Sr Kaneda,13,kanji,かねださん,*,金田さん
tierra,13,kanji,つち/ど/と,*,土
suelo,13,kanji,つち,*,土
Sabado,13,kanji,どようび,*,土曜日
terremoto,13,kanji,どち,*,土ち
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
tener,14,verbos,もちます,*,*
agarrar,14,verbos,とります,*,*
ayudar,14,verbos,てつだいます,*,*
llamar sin telefono,14,verbos,よびます,*,*
hablar,14,verbos,はなします,*,*
mostrar,14,verbos,みせます,*,*
fotocopiar,14,verbos,こぴ-します,コピ-します,*
prender o encender,14,verbos,つけます,*,*
apagar o borrar,14,verbos,けします,*,*
abrir,14,verbos,あけます,*,*
cerrar,14,verbos,しめます,*,*
apresurarse,14,verbos,いそぎます,*,*
esperar,14,verbos,まちます,*,*
detenerse o parar,14,verbos,とめます,*,*
doblar,14,verbos,まぎります,*,*
enseñar o decir,14,verbos,おしえます,*,*
comenzar,14,verbos,はじめます,*,*
gotear o llover,14,verbos,ふります,*,*
aire acondicionado,14,sustantivo,えあこん,エアコン,*
nombre,14,sustantivo,なまえ,*,名前
izquierda,14,sustantivo,ひだり,*,左
derecha,14,sustantivo,みぎ,*,右
sal,14,sustantivo,しお,*,*
azucar,14,sustantivo,さとう,*,*
pasaporte,14,sustantivo,ぱすぽと,パスポト,*
direccion,14,sustantivo,じゅうしょ,*,*
mapa,14,sustantivo,ちず,*,*
forma de leer,14,sustantivo,よみかた,*,*
vuelto,14,sustantivo,おつり,*,*
lentamente,14,adverbios,ゆっくり,*,*
despues,14,adverbios,あとで,*,*
derecho,14,adverbios,まっすぐ,*,*
inmediatamente,14,adverbios,すぐ,*,*
denuevo,14,adverbios,また,*,*
mas,14,adverbios,もう,*,*
esta bien,14,extras,いいですよ,*,*
doble en el semaforo a la derecha,14,extras,しんごう　を　右　へ　まぎって　ください,*,*
cobre de aqui por favor,14,extras,これ　で　おねがいします,*,*
bueno,14,extras,さあ,*,*
oh,14,extras,あれ?,*,*
cien,14,kanji,ひゃく,*,百
trescientos,14,kanji,さんびゃく,*,三百
seiscientos,14,kanji,ろっぴゃく,*,六百
verduleria,14,kanji,やおや,*,八百や
mil,14,kanji,せん,*,千
tres mil,14,kanji,さんぜん,*,三千
prefectura de chiba,14,kanji,ちばげん,*,千ばげん
diez mil,14,kanji,いちまん,*,一万
treinta mil,14,kanji,さんまん,*,三万
todos los paises,14,kanji,ばんこく,*,万国
N Yenes,14,kanji,Nえん,*,N円
circular o redondo,14,kanji,まるい,*,円い
cuarenta mil Yenes,14,kanji,よんまんえん,*,四万円
año,14,kanji,とし,*,年
este año,14,kanji,ことし,*,今年
cuatro años,14,kanji,よんねん,*,四年
pension,14,kanji,ねんきん,*,年金
arriba,14,kanji,うえ,*,上
subir,14,kanji,あがります,*,上がります
subir,14,kanji,のぼります,*,上ります
campera o abrigo,14,kanji,うわぎ,*,上ぎ
watersky,14,kanji,すいじょうすき-,すいじょうスキ-,水上スキ-
habilidoso,14,kanji,じょうず,*,上手
abajo,14,kanji,した,*,下
bajar,14,kanji,さがる,*,下がる
arriba y abajo,14,kanji,じょうげ,*,上下
no habilidoso,14,kanji,へた,*,下手
subterraneo,14,kanji,ちかてつ,*,ち下てつ
dentro,14,kanji,なか,*,中
durante todo el dia,14,kanji,いちにちじゅう,*,一日中
escuela media,14,kanji,ちゅうがく,*,中学
centro,14,kanji,ちゅうしん,*,中しん
mitad,14,kanji,はん,*,半
seis y media,14,kanji,ろくじはん,*,六じ半
medio año,14,kanji,はんとし,*,半年
medio dia,14,kanji,はんにち,*,半日
la mitad,14,kanji,はんぶん,*,半分
minuto,14,kanji,ぷん,*,分
comprender o entender,14,kanji,わかります,*,分かります
dividir o partir,14,kanji,わけます,*,分けます
5 minutos,14,kanji,こふん,*,5分
10 minutos,14,kanji,じゅうぶん,*,10分
suficiente,14,kanji,じゅうぶん,*,十分
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
pararse,15,verbos,たちます（に）,*,*
sentarse,15,verbos,すわります（に）,*,*
utilizar,15,verbos,つかいます（を）,*,*
apoyar,15,verbos,おきます（に）,*,*
producir,15,verbos,つくります（を）,*,*
vender,15,verbos,うります（を）,*,*
conocer futuro,15,verbos,しります（を）,*,*
residir futuro,15,verbos,すみます（に）,*,*
investigar,15,verbos,けんきゅうします,*,*
recordar,15,verbos,おもいだします,*,*
estar conociendo,15,verbos,しって　います,*,*
residir presente,15,verbos,Lugar に　すんで　います,*,*
tablon de horarios,15,sustantivo,じこくびょう,*,*
campo de estudio,15,sustantivo,せんもん,*,*
ropa,15,sustantivo,ふく,*,*
odontólogo,15,sustantivo,はいしゃ,*,*
documentos,15,sustantivo,しりょう,*,*
productos,15,sustantivo,せいひん,*,*
peluquería,15,sustantivo,とくや,*,*
catálogo,15,sustantivo,かたろぐ,カタログ,*
software,15,sustantivo,そふと,ソフト,*
reventa,15,sustantivo,ぷれいがいど,プレイガイド,*
soltero,15,sustantivo,どくしん,*,*
su familia,15,sustantivo,ごかぞく,*,*
escuela secundaria alta,15,sustantivo,こうとうがっこう,*,こうとう学校
especialmente,15,adverbios,とくに,*,*
siempre,15,frecuencia,いつも（+）,*,*
generalmente,15,frecuencia,たいてい,*,*
a veces,15,frecuencia,ときどき,*,*
nunca,15,frecuencia,いつも（-）,*,*
persona,15,kanji,ひと,*,人
una persona,15,kanji,ひとり,*,一人
tres personas,15,kanji,さんにん,*,三人
persona japonesa,15,kanji,にほんじん,*,日本人
niño,15,kanji,こども,*,子ども
niña,15,kanji,おんなのこ,*,女の子
chica,15,kanji,じょし,*,女子
padres e hijos,15,kanji,おやこ,*,おや子
mujer,15,kanji,おんなのひと,*,女の人
femenino,15,kanji,じょせい,*,女せい
hombre,15,kanji,おとこのひと,*,男の人
niño,15,kanji,おとこのこ,*,男の子
masculino,15,kanji,だんせい,*,男せい
chico,15,kanji,だんし,*,男子
hombres y mujeres,15,kanji,だんじょ,*,男女
hijo mayor varon,15,kanji,ちょうなん,*,ちょう男
ojos,15,kanji,め,*,目
primer dia ordenado,15,kanji,いちにちめ,*,一日目
gotas para ojos,15,kanji,めぐすり,*,目ぐすり
objetivo,15,kanji,もくてき,*,目てき
boca,15,kanji,くち,*,口
un bocado,15,kanji,ひとくち,*,一口
entrada,15,kanji,いりぐち,*,いり口
poblacion,15,kanji,じんこう,*,人口
salida de emergencia,15,kanji,ひじょうぐち,*,ひじょう口
oreja,15,kanji,みみ,*,耳
otorrinolaringolo,15,kanji,じびか,*,耳びか
mano,15,kanji,て,*,手
baño,15,kanji,おてあらい,*,お手あらい
carta,15,kanji,てがみ,*,手がみ
habilidoso,15,kanji,じょうす,*,上手
no habilidoso,15,kanji,へた,*,下手
cirujía,15,kanji,じゅじゅ,*,手じゅ
pie o pierna,15,kanji,あし,*,足
un par,15,kanji,いっそく,*,一足
tres pares,15,kanji,さんぞく,*,三足
alcanzar,15,kanji,たりる,*,足りる
excursion,15,kanji,えんそく,*,えん足
fuerza,15,kanji,ちから,*,力
fuerza del agua,15,kanji,すいりょく,*,水力
aptitud,15,kanji,のうりょく,*,のう力
fuerza fisica,15,kanji,たいりょく,*,体力
luchador de sumo,15,kanji,りきし,*,力し
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
subir a transporte,16,verbos,のります（に）,*,*
bajar de transporte,16,verbos,おります（を）,*,*
hacer transbordo,16,verbos,のりかえます（に）,*,*
ducharse,16,verbos,しゃわ-　を　あびます,シャワ-　を　あびます,*
meter,16,verbos,いれます,*,*
sacar,16,verbos,だします,*,*
ingresar,16,verbos,（に）はいります,*,*
graduarse,16,verbos,（を）でます,*,*
dejar algo,16,verbos,（を）やめます,*,*
apretar,16,verbos,おします,*,*
joven,16,adjetivos,わかい,*,*
largo,16,adjetivos,ながい,*,*
corto,16,adjetivos,みじかい,*,*
luminoso,16,adjetivos,おかるい,*,*
oscuro,16,adjetivos,くらい,*,*
persona alta,16,adjetivos,せ　が　たかい,*,*
persona bajar,16,adjetivos,せ　が　ひくい,*,*
inteligente,16,adjetivos,あたま　が　いい,*,*
servicio,16,sustantivo,さ-びす,サ-ビス,*
jogging,16,sustantivo,しょぎんぐ,ショギング,*
ducha,16,sustantivo,しゃわ-,シャワ-,*
templo budista,16,sustantivo,おてら,*,*
estudiante de intercambio,16,sustantivo,りゅうがくせい,*,りゅう学生
templo sintoista,16,sustantivo,じんじゃ,*,*
tarjeta de debito,16,sustantivo,きゃっしゅか-ど,キャッシュカ-ド,*
tarjeta de credito,16,sustantivo,くれじっとか-ど,クレジットカ-ド,*
pin de banco,16,sustantivo,あんしょうばんごう,*,*
cantidad de dinerop,16,sustantivo,きんがく,*,金がく
confirmacion,16,sustantivo,かくにん,*,*
boton,16,sustantivo,ぼたん,ボタン,*
siguiente,16,adverbios,つぎに,*,*
primero,16,adverbios,まず,*,*
aun tengo mucho camino por recorrer,16,frases,いいえ　まだまだです,*,*
es una extraccion de dinero?,16,frases,おひきだしですか,*,*
cuerpo,16,partes del cuerpo,からだ,*,*
cabeza,16,partes del cuerpo,あたま,*,*
pelo,16,partes del cuerpo,かみ,*,*
cara,16,partes del cuerpo,かお,*,*
ojos,16,partes del cuerpo,め,*,目
nariz,16,partes del cuerpo,はな,*,*
orejas,16,partes del cuerpo,みみ,*,耳
boca,16,partes del cuerpo,くち,*,口
dientes,16,partes del cuerpo,は,*,*
hombros,16,partes del cuerpo,かた,*,*
espalda,16,partes del cuerpo,せなか,*,せ中
brazos,16,partes del cuerpo,うで,*,*
mano,16,partes del cuerpo,て,*,手
dedo,16,partes del cuerpo,ゆび,*,*
codo,16,partes del cuerpo,ひじ,*,*
cintura,16,partes del cuerpo,こし,*,*
pecho,16,partes del cuerpo,むね,*,*
cuello,16,partes del cuerpo,くび,*,*
panza,16,partes del cuerpo,おなか,*,お中
pie o pierna,16,partes del cuerpo,あし,*,足
rodilla,16,partes del cuerpo,ひぎ,*,*
garganta,16,partes del cuerpo,のど,*,*
cejas,16,partes del cuerpo,まゆ,*,*
papa,16,kanji,ちち,*,父
padre,16,kanji,おとうさん,*,お父さん
padre,16,kanji,ちち,*,父おや
mama,16,kanji,はは,*,母
madre,16,kanji,おかあさん,*,お母さん
madre y padre,16,kanji,ふぼ,*,父母
lengua materna,16,kanji,ぼご,*,母語
madre patria,16,kanji,ぼこく,*,母国
anterior,16,kanji,さき,*,先
el dia anterior,16,kanji,せんじつ,*,先日
semana pasada,16,kanji,せんしゅう,*,先しゅう
mes anterior,16,kanji,せんげつ,*,先月
profesor,16,kanji,せんせい,*,先生
superior,16,kanji,せんぱい,*,先ぱい
vida,16,kanji,せい,*,生
vivir,16,kanji,いきる,*,生きる
nacer,16,kanji,うまれ,*,生まれ
crudo,16,kanji,なま,*,生
crecer,16,kanji,はえる,*,生える
huevo crudo,16,kanji,なまたまご,*,生たまご
basura cruda,16,kanji,なまごみ,なまゴミ,生ゴミ
vida humana,16,kanji,じんせい,*,人生
vida y obra,16,kanji,いっしょう,*,一生
vida cotidiana,16,kanji,せいかつ,*,生かつ
aprender,16,kanji,まなびます,*,学びます
escuela,16,kanji,がっこう,*,学校
universidad,16,kanji,だいがく,*,大学
estudiante,16,kanji,がくせい,*,学生
escuela primaria,16,kanji,しょうがっこう,*,しょう学校
director de escuela,16,kanji,こうちょう,*,校ちょう
amigo,16,kanji,ともだち,*,友だち
amigo interno,16,kanji,しんゆう,*,しん友
persona amiga,16,kanji,ゆうじん,*,友人
libro,16,kanji,ほん,*,本
japon,16,kanji,にほん,*,日本
tres objetos,16,kanji,さんぼん,*,三本
libreria,16,kanji,ほんや,*,本や
Yamamoto,16,kanji,やまもとさん,*,山本さん
todos,16,kanji,まい,*,毎
todos los dias,16,kanji,まいにち,*,毎日
todos los meses,16,kanji,まいつき,*,毎月
todas las noches,16,kanji,まいばん,*,毎ばん
que,16,kanji,なん/なに,*,何
que color,16,kanji,なにいろ,*,何いろ
cuantas personas,16,kanji,なんにん,*,何人
que mes,16,kanji,なんがつ,*,何月
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
memorizar,17,verbos,おぼえます,*,*
olvidar,17,verbos,わすれます,*,*
prender,17,verbos,なくします,*,*
entregar,17,verbos,だします,*,*
pagar,17,verbos,はらいます,*,*
devolver,17,verbos,かえします,*,*
salir,17,verbos,でかけます,*,*
sacarse,17,verbos,ねぎます,*,*
llevar,17,verbos,もっていきます,*,もって行きます
traer,17,verbos,もってきます,*,*
preocuparse,17,verbos,しんぱいします,*,*
hacer horas extras,17,verbos,さんひょうします,*,*
hacer viaje de negocios,17,verbos,しゅっちょうします,*,*
tomar una medicina,17,verbos,くすり　を　のみます,*,*
tomar un baño,17,verbos,おふろ　に　はいります,*,*
importante,17,adjetivos,たいせつ（な）,*,*
estar bien,17,adjetivos,だいじょうぶ（な）,*,*
peligroso,17,adjetivos,あぶない,*,*
doler,17,adjetivos,いたい,*,*
problema,17,sustantivo,もんだい,*,*
pregunta,17,sustantivo,しつもん,*,*
respuesta,17,sustantivo,こたえ,*,*
prohibido fumar,17,sustantivo,きんえん,*,*
tarjeta de obra social,17,sustantivo,けんこうほうけんしょう,*,*
resfriado,17,sustantivo,かぜ,*,*
fiebre,17,sustantivo,ねつ,*,*
enfermedad,17,sustantivo,びょうき,*,*
remedio,17,sustantivo,くすり,*,*
bañadera,17,sustantivo,おふろ,*,*
abrigo,17,sustantivo,うわぎ,*,上ぎ
ropa interior,17,sustantivo,したぎ,*,下ぎ
entonces,17,frases,ですから,*,*
que te mejores pronto,17,frases,おだいじに,*,*
que paso?,17,frases,どうしましたか,*,*
adelante o antes,17,kanji,まえ,*,前
hace tres dias,17,kanji,みっかまえ,*,三日前
primera mitad,17,kanji,ぜんはん,*,前半
AM,17,kanji,ごぜん,*,ご前
atras o despues,17,kanji,あと,*,後
atras,17,kanji,うしろ,*,後ろ
ultimo,17,kanji,さいご,*,さい後
PM,17,kanji,ごご,*,ご後
adelante y atras,17,kanji,ぜんご,*,前後
antes y despues,17,kanji,ぜんご,*,前後
afuera,17,kanji,そと,*,外
pais extranjero,17,kanji,がいこく,*,外国
persona extranjera,17,kanji,がいこくじん,*,外国人
idioma extranjero,17,kanji,がいこくご,*,外国語
izquierda,17,kanji,ひだり,*,左
derecha,17,kanji,みぎ,*,右
mano izquierda,17,kanji,ひだりて,*,左手
mano derecha,17,kanji,みぎて,*,右手
diestro,17,kanji,みぎきき,*,右きき
zurdo,17,kanji,ひだりきき,*,左きき
izquierda y derecha,17,kanji,さゆう,*,左右
lado derecho,17,kanji,みぎがわ,*,右がわ
mirar a la izquierda y derecha,17,kanji,さゆう　を　みます,*,左右　を　みます
Este,17,kanji,ひがし,*,東
Tokyo,17,kanji,とうきょう,*,東京
Entrada o Salida Este,17,kanji,ひがしぐち,*,東口
Oriente,17,kanji,とうよう,*,東よう
Oeste,17,kanji,にし,*,西
Entrada o Salida Oeste,17,kanji,にしぐち,*,西口
Este y Oeste,17,kanji,とうざい,*,東西
Occidente,17,kanji,せいよう,*,西よう
Kansai,17,kanji,かんさい,*,関西
Sur,17,kanji,みなみ,*,南
Entrada o Salida Sur,17,kanji,みなみぐち,*,南口
SurEste,17,kanji,とうなん,*,東南
Polo Sur,17,kanji,なんきょく,*,南きょく
Norte,17,kanji,きた,*,北
Entrada o Salida Norte,17,kanji,きたぐち,*,北口
Norte y Sur,17,kanji,なんぼく,*,南北
Polo Norte,17,kanji,ほっきょく,*,北きょく
NorEste,17,kanji,とうほく,*,東北
Hokkaido,17,kanji,ほっかいど,*,北かいど
los puntos cardinales,17,kanji,とうざいなんほく,*,東西何北
Nombre,17,kanji,なまえ,*,名前
Famosos,17,kanji,ゆうめい,*,ゆう名
N cantidad de personas,17,kanji,Nめい,*,N名
apellido,17,kanji,みょうじ,*,名字
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
ser capaz,18,verbos,できます,*,*
lavar,18,verbos,あらいます,*,*
tocar instrumento,18,verbos,ひきます,*,*
cantar,18,verbos,うたいます,*,*
coleccionar,18,verbos,あつめます,*,*
tirar,18,verbos,すてます,*,*
remplazar,18,verbos,かえます,*,*
conducir automovil,18,verbos,うてんします,*,*
reservar,18,verbos,よやくします,*,*
visitar para estudiar un lugar,18,verbos,けんがくします,*,*
rezar,18,verbos,いのりをします,*,*
piano,18,sustantivo,ぴあの,ピアノ,*
metros,18,sustantivo,-め-とる,-メ-トル,*
internacional,18,sustantivo,こくさい,*,*
dinero en efectivo,18,sustantivo,げんきん,*,げん金
aficion,18,sustantivo,しゅみ,*,*
diario,18,sustantivo,にっき,*,日っき
oracion,18,sustantivo,[お]いのり,*,*
jefe de seccion,18,sustantivo,かちょう,*,*
gerente de departamento,18,sustantivo,ぶちょう,*,*
presidente,18,sustantivo,しゃちょう,*,*
animal,18,sustantivo,どうぶつ,*,*
caballo,18,sustantivo,うま,*,*
no es facil,18,adverbios,なかなか,*,*
sin falta,18,adverbios,ぜひ,*,*
ah si!,18,frases,へえ,*,*
eso es interesante,18,frases,それはおもしろいですね,*,*
en serio?,18,frases,ほんとうですか,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

